Titre,Est tête d'arborescence,Terme Générique,Verbalisation française,Description   
Psychology,n/a,Science Citation Index Expanded,Psychologie,"Psychology is concerned with resources on the study of human behavior and mental processes. This category covers the biological and neurological underpinnings of perception, thought, and behavior; psychological development and change over the life span; in addition to emotional and mental disturbances and diseases and their treatment. Resources that report on animal behavior to illuminate human behavior and mental processes are also covered. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Public, Environmental & Occupational Health",n/a,Science Citation Index Expanded,"Sante Publique, Environnementale & Professionnelle","Public, Environmental & Occupational Health covers resources dealing with epidemiology, hygiene, and health; parasitic diseases and parasitology; tropical medicine; industrial medicine; occupational medicine; infection control; and preventive medicine. Also included are resources on environmental health; cancer causes and control; aviation, aerosol, and wilderness medicine. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Radiology, Nuclear Medicine & Medical Imaging",n/a,Science Citation Index Expanded,"Radiologie, Médecine nucléaire & Imagerie médicale","Radiology, Nuclear Medicine & Medical Imaging covers resources on radiation research in biology and biophysics. Resources in this category focus on interventional radiology, investigative radiology, neuroradiology, radiotherapy, and oncology. Nuclear Medicine resources are concerned with the diagnostic, therapeutic, and investigative use of radionuclides. Medical Imaging resources are concerned with computerized medical imaging and graphics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Rehabilitation,n/a,Science Citation Index Expanded,Rééducation,"Rehabilitation covers resources on therapy to aid in the recovery or enhancement of physical, cognitive, or social abilities diminished by birth defect, disease, injury, or aging. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Remote Sensing,n/a,Science Citation Index Expanded,Télédétection,"Remote Sensing includes resources on the technique of remote observation and of obtaining reliable information about physical objects and the environment through the process of recording, measuring, and interpreting photographic images and patterns of electromagnetic radiation from space. This category also covers resources on the applications of remote sensing in environmental, atmospheric, meteorological, geographic, and geoscientific observations. Resources on geographic information systems that deal in large part with remote sensing are also included. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Reproductive Biology,n/a,Science Citation Index Expanded,Biologie reproductrice,"Reproductive Biology includes resources that cover reproduction in humans, animals, and plants. This category ranges from the molecular biology of reproduction through reproductive nutrition, immunology, and toxicology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Respiratory System,n/a,Science Citation Index Expanded,Système respiratoire,"Respiratory System covers resources on all aspects of respiratory and lung diseases, including their relation to cardiovascular and thoracic surgery and diseases. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Rheumatology,n/a,Science Citation Index Expanded,Rhumatologie,"Rheumatology covers resources on clinical, therapeutic, and laboratory research about arthritis and rheumatism, the chronic degenerative autoimmune inflammatory diseases that primarily affect joints and connective tissue. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Robotics,n/a,Science Citation Index Expanded,Robotique,"Robotics includes resources that cover the branch of engineering devoted to the design, training, and application of robots, mechanical devices capable of performing a variety of manipulation and locomotion tasks. Resources in this category draw from the fields of mechanical and electrical engineering, cybernetics, bionics, and artificial intelligence. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Soil Science,n/a,Science Citation Index Expanded,Science des sols,"Soil Science covers resources concerning many aspects of the formation, nature, distribution, and utilization of soils including soil biology and fertility, soil conservation and tillage research, soil contamination and reclamation, soil biochemistry, and soil chemistry and physics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Spectroscopy,n/a,Science Citation Index Expanded,Spectroscopie,"Spectroscopy covers resources concerned with the production, measurement, and interpretation of electromagnetic spectra arising from either emission or absorption of radiant energy by various sources. This category includes resources that report on any of several techniques for analyzing the spectra of beams of particles or for determining mass spectra. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Sport Sciences,n/a,Science Citation Index Expanded,Sciences du sport,"Sport Sciences covers resources on the applied physiology of human performance, physical conditioning for sports participation, optimal nutrition for sports performance, and the prevention and treatment of sports-related injuries and diseases. This category also includes resources on sport psychology and sociology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Statistics & Probability,n/a,Science Citation Index Expanded,Statistiques & Probabilités,"Statistics & Probability covers resources concerned with methods of obtaining, analyzing, summarizing, and interpreting numerical or quantitative data. Resources on the study of the mathematical structures and constructions used to analyze the probability of a given set of events from a family of outcomes are also covered. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Substance Abuse,n/a,Science Citation Index Expanded,Abus de substances,"Substance Abuse covers resources on the behavior, education, treatment, and research of alcohol, drug, and other substances of addiction. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Surgery,n/a,Science Citation Index Expanded,Chirurgie,"Surgery covers resources on general surgical topics including the different types of surgery (cardiovascular, neurosurgery, orthopedic, pediatric, or vascular); allied disciplines of surgery (surgical oncology, pathology, or radiology); and surgical techniques (arthroscopy, microscopy, or endoscopy). Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Telecommunications,n/a,Science Citation Index Expanded,Télécommunications,"Telecommunications covers resources on the technical and engineering aspects of communications over long distances via telephone, television, cable, fiber optics, radio, computer networks, telegraph, satellites, and so on. Other relevant topics include electronics, opto-electronics, radar and sonar navigation, communications systems, microwaves, antennas, and wave propagation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Thermodynamics,n/a,Science Citation Index Expanded,Thermodynamique,"Thermodynamics includes resources that focus on the areas of physics examining the transformations of matter and energy in physical and chemical processes, particularly those processes that involve the transfer of heat and changes in temperature. Relevant topics in this category include cooling and heating systems, cryogenics, refrigeration, combustion, energy conversion, and thermal stresses. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Toxicology,n/a,Science Citation Index Expanded,Toxicologie,"Toxicology covers resources that focus on the identification, biochemistry, and effects of harmful substances, including the side effects of drugs, in animals, humans, and the environment. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Transplantation,n/a,Science Citation Index Expanded,Transplantation,"Transplantation covers resources that focus on the assimilation of grafted tissue and the reconstitution of removed organs or parts of organs. The coverage focuses on transplantation procedures and the maintenance of transplanted tissues or organs. Specific transplantation coverage focuses on heart, lung, kidney, and bone marrow. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Transportation Science & Technology,n/a,Science Citation Index Expanded,Science & Technologie des transports,"Transportation Science & Technology covers resources on all aspects of the movement of goods and peoples as well as the design and maintenance of transportation systems. Topics covered in this category include logistics, vehicular design and technology, and transportation science and technology. Note: Resources that concentrate on transportation safety, policy, economics, and planning appear under the TRANSPORTATION category in the SSCI. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Tropical Medicine,n/a,Science Citation Index Expanded,Médecine tropicale,"Tropical Medicine covers resources on the study and treatment of disease, parasites, and other medical conditions unique to or originating in tropical regions. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Urology & Nephrology,n/a,Science Citation Index Expanded,Urologie & Néphrologie,"Urology & Nephrology covers resources on the diagnosis and treatment of diseases of the genitourinary tract and kidneys. This category includes general urology and nephrology as well as specialty resources on the prostate, dialysis and other blood purification techniques, transplantation, and renal failure. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Veterinary Sciences,n/a,Science Citation Index Expanded,Sciences vétérinaires,"Veterinary Sciences covers resources concerning both the research and clinical aspects of animal health, diseases, injuries, nutrition, reproduction, and public health. This category includes materials on companion, farm, zoo, laboratory, wild, and aquatic animals. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Virology,n/a,Science Citation Index Expanded,Virologie,"Virology includes resources dealing with all aspects of viral organisms and host-virus interactions. Resources in this category cover the molecular, biochemical, and cellular studies of plant-, animal-, and human-specific viruses, as well as bacteriophages. This category also contains materials on medical virology and pathogenesis and treatment of viral diseases. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Water Resources,n/a,Science Citation Index Expanded,Ressources hydriques,"Water Resources covers resources concerning a number of water-related topics. These include desalination, ground water monitoring and remediation, hydrology, irrigation and drainage science and technology, water quality, hydraulic engineering, ocean and coastal management, river research and management, waterways and ports. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Zoology,n/a,Science Citation Index Expanded,Zoologie,"Zoology covers resources concerning a broad range of topics on the study of animals. This category ranges from animal behavior and animal physiology to some aspects of animal ecology. The category does not include veterinary medicine, ornithology, or most aspects of entomology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Social Science Citation Index,Catégorie Web of Science,n/a,,
Anthropology,n/a,Social Science Citation Index,Anthropologie,"Anthropology covers resources relating to the scientific study of human beings, especially their origin, distribution, behavior, as well as their physical, social and cultural characteristics and development. This category, by definition, borrows from related resources in history, archaeology, and several other social sciences. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Area Studies,n/a,Social Science Citation Index,Etudes régionales,"Area Studies covers resources concerned with the social, economic, political, and military character of a geographical area or region, such as Africa, Asia, Latin America, the Middle East, Pacific Rim, etc. The resources in this category tend to be historical and interdisciplinary in nature.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Business,n/a,Social Science Citation Index,Activités commerciales,"This category covers resources concerned with all aspects of business and the business world. These may include marketing and advertising, forecasting, planning, administration, organizational studies, compensation, strategy, retailing, consumer research, and management. Also covered are resources relating to business history and business ethics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Business, Finance",n/a,Social Science Citation Index,"Activités commerciales, Finance","Business, Finance covers resources primarily concerned with financial and economic correlations, accounting, financial management, investment strategies, the international monetary system, insurance, taxation, and banking. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Cultural Studies,n/a,Social Science Citation Index,Etudes culturelles,"Cultural studies covers resources concerned with the interdisciplinary, theoretical-critical study of modern cultural phenomena, practices and products in their sociopolitical, historical and geographical contexts.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Communication,n/a,Social Science Citation Index,Communication,"Communication covers resources on the study of the verbal and non-verbal exchange of ideas and information. Included here are communication theory, practice and policy, media studies (journalism, broadcasting, advertising, etc.), mass communication, public opinion, speech, business and technical writing as well as public relations. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Criminology & Penology,n/a,Social Science Citation Index,Criminologie & Pénologie,"Criminology & Penology covers resources relating to the study of crime as a social phenomenon. Included here are resources on the treatment, management, and rehabilitation of offenders, as well as on criminal law. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Demography,n/a,Social Science Citation Index,Démographie,"Demography includes resources on human populations, especially with regard to their size, density, distribution, and vital statistics. Resources covered in this category are concerned with research in migration patterns, social biology, fertility and contraception, as well as demographic forecasting, environmental and economic factors, and life span studies. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Economics,n/a,Social Science Citation Index,Economie,"Economics covers resources on all aspects, both theoretical and applied, of the production, distribution, and consumption of goods and services. These include generalist as well as specialist resources, such as political economy, agricultural economics, macroeconomics, microeconomics, econometrics, trade, and planning. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Education & Educational Research,n/a,Social Science Citation Index,Education & Recherche pédagogique,"Education & Educational Research covers resources on the full spectrum of education, from theoretical to applied, from nursery school to Ph.D. Included in this category are resources on pedagogy and methodology as well as on the history of education, reading, curriculum studies, education policy, and the sociology and economics of education, as well as the use of computers in the classroom. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Education, Special",n/a,Social Science Citation Index,"Education, Spécialisée","Education, Special covers resources that are concerned with the education and development of persons with special needs, including the gifted as well as those with learning disabilities. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Environmental Studies,n/a,Social Science Citation Index,Etudes environnementales,"Environmental Studies covers resources that are multidisciplinary in nature. These include environmental policy, regional science, planning and law, management of natural resources, energy policy, and environmental psychology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ergonomics,n/a,Social Science Citation Index,Ergonomie,"Ergonomics includes resources concerned with the study of the relationship between humans and machines, particularly in a work environment. This category also covers resources on cybernetics, general systems, artificial intelligence, and systems research. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ethics,n/a,Social Science Citation Index,Ethique,"Ethics covers resources on normative ethics, including all aspects of the evaluation of human conduct and social relations, such as business ethics, medical ethics, environmental ethics, etc. Descriptive ethics is covered extensively in A&HCI, Philosophy. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Ethnic Studies,n/a,Social Science Citation Index,Etudes ethniques,"Ethnic Studies covers resources on ethnic/racial, social and cultural diversity issues, including the history and the political, social, and economic interactions of specific ethnic groups. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Family Studies,n/a,Social Science Citation Index,Etudes familiales,"Family Studies includes resources on such issues and areas as family therapy, family law, marriage, divorce, family planning, and family history. Cross-disciplinary in nature, many resources in this category also appear in other categories. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Geography,n/a,Social Science Citation Index,Géographie,"Geography covers resources concerned with socio-cultural aspects of the Earth's surface emphasizing the human, economic, political, urban, and environmental issues of the discipline. The history of geography and the study of cartography are also covered in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Gerontology,n/a,Social Science Citation Index,Gérontologie,"Gerontology covers resources that are concerned with the sociological and psychological issues of aging, including such areas as rehabilitation, aging and education, aging and work, aging and social policy as well as life span research. Geriatrics, which deals with the medical and clinical aspects of aging, is covered in the SCI. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Health Policy & Services,n/a,Social Science Citation Index,Politique & Services sanitaires,"Health Policy & Services covers resources on healthcare systems, including healthcare provision and management, financial analysis, healthcare ethics, health policy, and quality of care. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History,n/a,Social Science Citation Index,Histoire,"The History category in Social Science covers resources that are primarily concerned with political, social, and economic history. This category also includes history resources that focus on a particular group, country or geographic area. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History & Philosophy Of Science,n/a,Social Science Citation Index,Histoire & Philosophie de la science,"History & Philosophy of Science covers resources on the history of scientific disciplines including medicine and technology, as well as resources on the philosophical and social studies of science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History of Social Sciences,n/a,Social Science Citation Index,Histoire des sciences sociales,"History of Social Sciences includes resources on the history of such disciplines as business, economics, education, sociology, law, and psychology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Hospitality, Leisure, Sport & Tourism",n/a,Social Science Citation Index,"Hébergement, Loisirs, Sport & Tourisme","Hospitality, Leisure, Sport & Tourism covers resources that focus on all aspects of recreation and leisure studies, sport, hospitality, and travel and tourism. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Industrial Relations & Labor,n/a,Social Science Citation Index,Relations industrielles & Travail,"Industrial Relations & Labor covers resources on arbitration, business and labor law, human resources, labor history, labor relations, and the sociology of work relations. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Information Science & Library Science,n/a,Social Science Citation Index, Sciences de l'information & Bibliothéconomie,"Information Science & Library Science covers resources on a wide variety of topics, including bibliographic studies, cataloguing, categorization, database construction and maintenance, electronic libraries, information ethics, information processing and management, interlending, preservation, scientometrics, serials librarianship, and special libraries. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
International Relations,n/a,Social Science Citation Index,Relations internationales,"International Relations covers resources concerned with foreign policy, comparative world politics, world commerce and trade, international legal issues, peace studies and conflict resolution, military alliances, and strategic studies. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Law,n/a,Social Science Citation Index,Droit,"Law covers resources from both general and specialized areas of national and international law, including comparative law, criminology, business law, banking, corporate and tax law, constitutional law, civil rights, copyright and intellectual property law, environmental law, family law, medicine and the law as well as psychology and the law. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Linguistics,n/a,Social Science Citation Index,Linguistique,"Linguistics covers resources relating to all theoretical and applied aspects of linguistics, including phonetics, phonology, morphology, syntax, and semantics.   The category also includes resources dealing with language as a social phenomenon such as sociolinguistics, language acquisition and education, psycholinguistics, computational linguistics, corpus linguistics, semiotics and the relationship between memory and language. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Management,n/a,Social Science Citation Index,Gestion,"Management covers resources on management science, organization studies, strategic planning and decision-making methods, leadership studies, and total quality management. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Nursing,n/a,Social Science Citation Index,Soins infirmiers,"Nursing covers resources on all aspects of nursing science and practice such as administration, economics, management, education, technological applications and all clinical care specialties. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Planning & Development,n/a,Social Science Citation Index,Planification & Développement ,"Planning & Development is concerned with resources on the economics and social development of both underdeveloped and industrialized areas. The resources in this category focus on subjects such as economic forecasting, development studies, policy-making strategies, theories of planning, and the growth of the third world. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Political Science,n/a,Social Science Citation Index,Science politique,"Political Science covers resources concerned with political studies, military studies, the electoral and legislative processes, political theory, history of political science, comparative studies of political systems, and the interaction of politics and other areas of science and social science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Psychiatry,n/a,Social Science Citation Index,Psychiatrie,"Psychiatry covers resources that focus on the origins, diagnosis, and treatment of mental, emotional, or behavioral disorders. Areas covered in this category include adolescent and child psychiatry, forensic psychiatry, geriatric psychiatry, hypnosis, psychiatric nursing, psychiatric rehabilitation, psychosomatic research, and stress medicine. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Applied",n/a,Social Science Citation Index,"Psychologie, Appliquée","Psychology, Applied covers resources on organizational psychology, including selection, training, performance, and evaluation; organizational behavior; counseling and development; as well as aviation psychology and sports psychology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Biological",n/a,Social Science Citation Index,"Psychologie, Biologique","Psychology, Biological includes resources concerned with the biological basis of psychological states and processes. Biopsychology, psychophysiology, psychopharmacology, and comparative psychology resources are covered in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Clinical",n/a,Social Science Citation Index,"Psychologie, Clinique","Psychology, Clinical covers resources concerned with the combination of psychological therapy and clinical treatment such as behavior research and therapy, cognitive therapy, family therapy, marital and sexual therapy, psychotherapy, and rehabilitation psychology.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Developmental",n/a,Social Science Citation Index,"Psychologie, du Développement","Psychology, Developmental covers resources concerned with the study of developmental changes in social and cognitive abilities. Key areas include adult development and aging, child and adolescent psychology, cognitive, perceptual, motor and language development as well as psychosocial and personality development. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Educational",n/a,Social Science Citation Index,"Psychologie, de l'Education","Psychology, Educational includes resources on educational psychology, educational measurement, creative behavior, instructional science, reading research, and school psychology.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Experimental",n/a,Social Science Citation Index,"Psychologie, Expérimentale","Psychology, Experimental covers resources concerned with consciousness; cognition and memory; visual, auditory, and speech perception; and ecological psychology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Mathematical",n/a,Social Science Citation Index,"Psychologie, Mathématique","Psychology, Mathematical covers resources concerned with experimental methodology and instrumentation, multivariate methods, statistical manipulation, and research strategy. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Multidisciplinary",n/a,Social Science Citation Index,"Psychologie, Multidisciplinaire","Psychology, Multidisciplinary covers resources with a general or interdisciplinary approach to the field. Resources on philosophical psychology, psychobiology, and the history of psychology are included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Psychoanalysis",n/a,Social Science Citation Index,"Psychologie, Psychanalyse","Psychology, Psychoanalysis includes resources concerned with psychoanalysis as a form of diagnosis and treatment that emphasizes the gradual integration of repressed memories into the total structure of the personality. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Psychology, Social",n/a,Social Science Citation Index,"Psychologie, Sociale","Psychology, Social covers resources on the behavior of the individual in a social context. Areas included are group processes, interpersonal processes, intercultural relations, personality, social roles, persuasion, compliance, conformity, sex roles, and sexual orientation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Public Administration,n/a,Social Science Citation Index,Administration publique,"Public Administration covers resources concerned with the management of public enterprises, implementation of governmental decisions, the relationship between public and private sectors, public finance policy, and state bureaucracy studies. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Public, Environmental & Occupational Health",n/a,Social Science Citation Index," Santé publique, environnementale et professionnelle ","Public, Environmental & Occupational Health covers resources on social medicine, health behavior, health education, safety research, and community mental health. Resources concerned with the health of particular groups such as adolescents, elderly, or women are included in this category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Rehabilitation,n/a,Social Science Citation Index,Rééducation,"Rehabilitation covers resources concerned with therapeutic approaches for the treatment of mental, speech, hearing, visual, and other physical disabilities. This category also includes studies in music, art, dance, and occupational therapy. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Social Issues,n/a,Social Science Citation Index,Questions sociales,"Social Issues covers resources in a wide variety of topics addressing social problems for the individual, family, or society. Resources included in this category deal with death studies, issues in science and technology, gender studies, ethical studies, media studies, race and class, and the interaction of technology and society. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Social Sciences, Biomedical",n/a,Social Science Citation Index,"Sciences sociales, Biomédicales","Social Sciences, Biomedical includes resources on the political and social effects of biomedical research. Areas covered include family planning, healthcare ethics, psycho-oncology, and sexual health. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Social Sciences, Interdisciplinary",n/a,Social Science Citation Index,"Sciences sociales, Interdisciplinaires","Social Sciences, Interdisciplinary includes resources with an interdisciplinary approach to the field such as studies on social sciences and computers, time and society, evaluation practice, black studies, information science and society, homosexuality studies, childhood studies, and death studies. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Social Sciences, Mathematical Methods",n/a,Social Science Citation Index,"Sciences sociales, Méthodes mathématiques","Social Sciences, Mathematical Methods covers resources concerned with the quantitative methodologies used for research in social sciences such as mathematical modeling and statistical techniques for psychological, sociological, and economic data evaluation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Social Work,n/a,Social Science Citation Index,Travail social,"Social Work covers resources concerned with homelessness, social casework, social services, social work education, public welfare, family counseling, child welfare and abuse, social work administration, social work with groups, and gerontological social work. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Sociology,n/a,Social Science Citation Index,Sociologie,"Sociology covers resources that focus on the study of human society, social structures, and social change as well as human behavior as it is shaped by social forces. Areas covered in this category include community studies, socio-ethnic problems, rural sociology, sociobiology, social deviance, gender studies, the sociology of law, the sociology of religion, and comparative sociology. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Substance Abuse,n/a,Social Science Citation Index,Abus de substances,"Substance Abuse covers resources concerned primarily with the social and psychological problems of addiction, substance abuse education, and the treatment of the chemically dependent. Resources concerned with the biomedical problems of substance abuse appear in the Science Citation Index. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Transportation,n/a,Social Science Citation Index,Transports,"Transportation covers resources concerned with transportation policy, economics, management, transportation development, and transportation studies. Resources concerned with the civil engineering aspects of transportation appear in the TRANSPORTATION SCIENCE & TECHNOLOGY category of the Science Citation Index. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Urban Studies,n/a,Social Science Citation Index,Etudes urbaines,"Urban Studies covers resources concerned with the social aspects of city planning and urban design. Topics covered include the effects of the urban environment on the individual, the effects of urbanization on the natural environment, urban economics, urban technology, housing planning, urban education, and urban law. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Women's Studies,n/a,Social Science Citation Index,Etudes de la condition féminine,"Women's Studies covers resources that focus on interdisciplinary topics such as women and health, women's psychology, women and politics, as well as gender studies and feminism. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Arts and Humanities Citation Index,Catégorie Web of Science,n/a,,
Archaeology,n/a,Arts and Humanities Citation Index,Archéologie,"Archaeology includes resources on the study of material remains (such as fossils, relics, artifacts, and monuments) of past human life and activities. This category covers resources concerned with all aspects of archaeology including methods of detection and analysis. Anthropological archaeology resources are also covered in the SSCI. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Architecture,n/a,Arts and Humanities Citation Index,Architecture,"Architecture covers resources that are concerned with the study of the art and science of building, particularly the design and construction of habitable structures. Also covered in this category are resources on architectural history, landscape architecture as well as urban and country planning and design. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Art,n/a,Arts and Humanities Citation Index,Art,"Art covers resources in all areas of visual expression -- graphics, printmaking, painting, sculpture, and photography -- as well as interactive and electronic art. Also covered in this category are art history, museum bulletins and publications on museum management. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Asian Studies,n/a,Arts and Humanities Citation Index,Etudes asiatiques,"Asian Studies covers resources that focus on multidisciplinary Asian studies, as well as those that focus on Asian music, folklore, philosophy, theatre, or religion. Only general resources appear here; specific ones are appropriately cross-categorized. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Classics,n/a,Arts and Humanities Citation Index,Classiques,Classics is concerned with resources on the literature of the classical era of the Greek and Roman civilizations.
Cultural studies,n/a,Arts and Humanities Citation Index,Etudes culturelles,"Cultural studies covers resources concerned with the interdisciplinary, theoretical-critical study of modern cultural phenomena, practices and products in their sociopolitical, historical and geographical contexts. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Dance,n/a,Arts and Humanities Citation Index,Danse,"Dance includes resources on all forms of the art - ballet, modern, jazz, etc. Performance reviews are covered in this category, as are resources on dance history. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Film, Radio, Television",n/a,Arts and Humanities Citation Index,"Cinéma, radio, télévision","Film, Radio, Television includes resources on the creative aspects of these fields, as opposed to the technical. Reviews are covered in this category, as are resources concerned with history and cultural interpretation. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Folklore,n/a,Arts and Humanities Citation Index,Folklore,"Folklore covers resources on the traditions of various nationalities and ethnic groups, folk costume, story-telling, food, wedding and burial customs, children's games, etc. Folk music resources are included both here and in the MUSIC category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History,n/a,Arts and Humanities Citation Index,Histoire,"History includes resources on most areas of the topic -- world, national, regional, ethnic, military, and nautical -- with the exception of History and Philosophy of Science, which is covered in its own category. Some resources in this category are general in scope, others focus on a particular geographical area. There is some overlap with the SSCI coverage of the topic, though the SSCI focuses on political, social, or economic topics. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
History & Philosophy Of Science,n/a,Arts and Humanities Citation Index,Histoire & Philosophie de la science,"History &amp; Philosophy of Science covers resources on the history of scientific disciplines, including medicine and technology, as well as philosophical and social studies of science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
