Titre,Lbellé en français,Est tête d'arborescence,Terme Générique,Terme Spécifique, Description ,Source,Cette resource dans cat INIST
General Clinical Medicine,"Médecine clinique, général",n/a,Clinical Medicine,n/a,"La médecine clinique (étymologiquement du latin clinice, « médecine exercée près du lit du malade ») est l'étude et le traitement des maladies directement au chevet du patient1. Elle vise à l'établissement dudiagnostic par la pratique de l'examen clinique c'est-à-dire l'interrogatoire et l'observation. Source: https://fr.wikipedia.org/wiki/Médecine_clinique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Geriatrics,Gériatrie,n/a,Clinical Medicine,n/a,"La gériatrie est la médecine des personnes âgées, alors que la gérontologie désigne l'étude du vieillissement dans toutes ses dimensions, notamment sociale, économique, démographique, psychologique, anthropologique, culturelle, médicale et autres. La gériatrie est donc une des composantes de la gérontologie. Source: https://fr.wikipedia.org/wiki/Gériatrie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-507DT029-0
Immunology,Immunologie,n/a,Clinical Medicine,n/a,"L'immunologie est la branche de la biologie qui s'occupe de l'étude du système immunitaire. Apparu très tôt au cours de l'évolution, ce système a évolué pour discriminer le soi du non-soi. Les réactions de défense de l'organisme face à un organisme pathogène - quelle que soit la nature de celui-ci, virus, bactérie, champignon ou protozoaires, les maladies auto-immunes, les allergies et le rejet des greffes forment l'aspect médical de cette science. Source:https://fr.wikipedia.org/wiki/Immunologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-551T2DF1-J
Legal & Forensic Medicine,Médecine légale,n/a,Clinical Medicine,n/a,"La médecine légale est une spécialité de la médecine qui détermine les causes de lésions d'une victime, notamment les causes de décès (en) liées à l'activité thanatologique, dont le principal support est l'autopsie. Certains utilisent parfois le terme « médecine forensique », l'une des branches dessciences forensiques. Source: https://fr.wikipedia.org/wiki/Médecine_légale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Neurology & Neurosurgery,Neurologie et Neurochirurgie,n/a,Clinical Medicine,n/a,La neurologie est la discipline médicale clinique qui étudie l'ensemble des maladies du système nerveux et en particulier du cerveau. Source: https://fr.wikipedia.org/wiki/Neurologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-F2T6JQ9D-Q
Nuclear Medicine & Medical Imaging,Médecine nucléaire et imagerie médicale,n/a,Clinical Medicine,n/a,"1)La médecine nucléaire comprend l'ensemble des applications médicales de la radioactivité en médecine. 2)L'imagerie médicale regroupe les moyens d'acquisition et de restitution d'images du corps humain à partir de différents phénomènes physiques tels que l'absorption des rayons X, la résonance magnétique nucléaire, la réflexion d'ondes ultrasons ou la radioactivité auxquels on associe parfois les techniques d'imagerie optique comme l'endoscopie.  Sources: https://fr.wikipedia.org/wiki/Médecine_nucléaire"">Médecine Nucléaire  ; https://fr.wikipedia.org/wiki/Imagerie_médicale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PBPNK4MQ-9
Obstetrics & Reproductive Medicine,Obstétrique et reproduction,n/a,Clinical Medicine,n/a,L'obstétrique est une spécialité médico-chirurgicale qui a pour objet l'étude et la prise en charge de la grossesse et de l'accouchement. Source: https://fr.wikipedia.org/wiki/Obstétrique,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-7VQ3V0WL-W
Oncology & Carcinogenesis,Oncologie,n/a,Clinical Medicine,n/a,"L'oncologie ou carcinologie ou cancérologie est la spécialité médicale d'étude, de diagnostic et de traitement des cancers. Le terme vient du grec onkos, signifiant vrac, masse ou tumeur, et le suffixe -logie, signifiant « étude de ». Source: https://fr.wikipedia.org/wiki/Oncologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-BL4J4ZC1-N
Ophthalmology & Optometry,Ophtalmologie et Optométrie,n/a,Clinical Medicine,n/a,"1)L’ophtalmologie est la branche de la médecine chargée du traitement des maladies de l’œil et de ses annexes. C’est une spécialité médico-chirurgicale. 2)Le terme optométrie vient des mots grecs ὄψις (opsis; « vue ») et μέτρον (metron; « quelque chose servant à mesurer », « mesure », « règle »). La racine du mot opto, est une forme abrégée dérivée du mot grec ophthalmos signifiant « l'œil ». Sources: https://fr.wikipedia.org/wiki/Ophtalmologie"">Ophtalmologie ; https://fr.wikipedia.org/wiki/Optométrie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9QWQDWHV-D
Orthopedics,Orthopédique,n/a,Clinical Medicine,n/a,"L'orthopédie est la spécialité chirurgicale qui a pour objet la prévention et la correction des affections de l'appareil locomoteur, qui recouvrent les déformations et les malformations des os, des articulations, desmuscles, des tendons et des nerfs. Source: https://fr.wikipedia.org/wiki/Orthopédie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-T20RGM17-1
Otorhinolaryngology,Otorhinolaryngologie,n/a,Clinical Medicine,n/a,"L’oto-rhino-laryngologie ou otorhinolaryngologie (littéralement « étude de l'oreille, du nez et du larynx ») représente une branche de la médecine spécialisée dans le diagnostic et le traitement des troubles du nez, de la gorge, de l'oreille, et de la région tête et cou. Source: https://fr.wikipedia.org/wiki/Oto-rhino-laryngologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-5DN7MLCM-D
Pathology,Pathologie,n/a,Clinical Medicine,n/a,"La pathologie (Grec ancien παθολογία [pathologia], « examen des passions », soit « étude des maladies »), est la science qui a pour objet l'étude des maladies et notamment leurs causes (étiologie) et leurs mécanismes (physiopathologie). Source: https://fr.wikipedia.org/wiki/Pathologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Pediatrics,Pédiatrie,n/a,Clinical Medicine,n/a,"La pédiatrie est une branche spécialisée de la médecine qui étudie le développement psycho-moteur et physiologique normal de l'enfant, ainsi que toute la pathologie qui y a trait (maladies infantiles), de la naissance à la période postpubertaire où il devient adulte. Source: https://fr.wikipedia.org/wiki/Pédiatrie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-6QS64NCW-S
Pharmacology & Pharmacy,Pharmacologie et Pharmacie,n/a,Clinical Medicine,n/a,"1)La pharmacologie est une discipline scientifique du vivant, subdivision de la biologie, qui étudie les mécanismes d'interaction entre une substance active et l'organisme dans lequel elle évolue, de façon à pouvoir ensuite utiliser ces résultats à des fins thérapeutiques, comme l'élaboration d'un médicament (principalement) ou son amélioration. 2)La pharmacie (du grec φάρμακον/pharmakôn signifiant à la fois le remède et le poison) est la science s'intéressant à la conception, au mode d'action, à la préparation et à la dispensation des médicaments. Sources: https://fr.wikipedia.org/wiki/Pharmacologie"">Pharmacologie ; https://fr.wikipedia.org/wiki/Pharmacie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-D03393ZJ-Q
Psychiatry,Psychiatrie,n/a,Clinical Medicine,n/a,"La psychiatrie est une spécialité médicale traitant de la maladie mentale. L'étymologie du mot provient du mot grec psyche (ψυχή), signifiant « âme ou esprit », et iatros qui signifie médecin (littéralement médecine de l'âme). Source: https://fr.wikipedia.org/wiki/Psychiatrie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-507DT029-0
Respiratory System,Système respiratoire,n/a,Clinical Medicine,n/a,"La pneumologie est la branche de la médecine s'intéressant aux pathologies respiratoires. Source: https://fr.wikipedia.org/wiki/Pneumologie"">Pneumologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PL865BZX-D
Sport Sciences,Médecine sportive,n/a,Clinical Medicine,n/a,"La médecine du sport ou médecine sportive est la médecine spécialisée dans les différents aspects médicaux liés à la pratique du sport. Contrairement à des idées reçues, la médecine du sport n'est pas réservée aux pratiquants. Source: https://fr.wikipedia.org/wiki/Médecine_du_sport",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-N6G0H1Q8-V
Surgery,Chirurgie,n/a,Clinical Medicine,n/a,"La chirurgie est la partie de la thérapeutique qui implique des opérations internes ou des manœuvres externes sur les tissus, notamment par incision et suture. Source: https://fr.wikipedia.org/wiki/Chirurgie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-DQ1NZ7MB-G
Tropical Medicine,Médecine tropicale,n/a,Clinical Medicine,n/a,"La médecine tropicale est comme son nom l’indique une branche de la médecine consacrée aux affections typiques des zones tropicales (les « maladies tropicales »). Elle concerne ces zones elles-mêmes mais aussi et de plus en plus le monde entier, en raison de la mondialisation et l’accélération des transports de biens et personnes, qui contribuent à diffuser sur toute la planète des pathogènes et leurs vecteurs. Source: https://fr.wikipedia.org/wiki/Médecine_tropicale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-L77MBF9P-H
Urology & Nephrology,Urologie et Néphrologie,n/a,Clinical Medicine,n/a,"1)L’urologie (du grec ancien οὖρον oûron, signifiant « urine », « liquide séminal ») est le domaine de la médecine qui s'applique aux reins, aux voies urinaires des hommes et des femmes, au système reproducteur masculin (appareil uro-génital masculin) et aux glandes surrénales. La néphrologie est la spécialité médicale visant à prévenir, diagnostiquer et soigner les maladies des reins. Elle est différente de l'urologie, spécialité chirurgicale s'intéressant à l'appareil génital masculin et à l'ensemble du système urinaire (reins, uretères, vessie, prostate, urètre). Sources: https://fr.wikipedia.org/wiki/Urologie ; https://fr.wikipedia.org/wiki/Néphrologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-4TZFCK9R-B
Psychology & Cognitive Sciences,Psychologie & sciences cognitives,n/a,Health Sciences,Behavioral Science & Comparative Psychology ; Clinical Psychology ; Developmental & Child Psychology ; Experimental Psychology ; General Psychology & Cognitive Sciences ; Human Factors ; Psychoanalysis ; Social Psychology ;,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SRJSDCNZ-M
Behavioral Science & Comparative Psychology,Science comportementale et psychologie comparative,n/a,Psychology & Cognitive Sciences,n/a,"1)Le terme de sciences comportementales regroupe les disciplines qui explorent les activités et les interactions entre les organismes qui vivent dans la nature. 2)La psychologie comparée est la branche de la psychologie scientifique qui s'intéresse aux différences qui existent entre les espèces animales en ce qui concerne leurs processus mentaux et leurs capacités cognitives au sens large. Sources: https://fr.wikipedia.org/wiki/Sciences_comportementales"">Sciences Comportementales ; https://fr.wikipedia.org/wiki/Psychologie_comparée",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SRJSDCNZ-M
Clinical Psychology,Psychologie clinique,n/a,Psychology & Cognitive Sciences,n/a,"La visée de la psychologie clinique est de faire accéder le patient à la cessation de ses souffrances psychiques. Dans cette optique, le clinicien tente d'isoler et de comprendre les signes cliniques et symptômes qui touchent l'individu, et de quelles angoisses elles tentent de protéger la psyché. Source : https://fr.wikipedia.org/wiki/Psychologie_clinique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-507DT029-0
Developmental & Child Psychology,Psychologie du développement et de l'enfant,n/a,Psychology & Cognitive Sciences,n/a,"1)La psychologie du développement est une branche de la psychologie. Son objet est de comprendre d'une part, comment l'humain se développe, d'autre part, pourquoi il se développe : comment et pourquoi les processus mentaux, les comportements, les performances et habiletés changent (se développent ou se perdent) au cours de sa vie humaine. Cette discipline embrasse tous les aspects du développement psychologique (aspects cognitifs, langagiers, affectifs et sociaux) et tous les âges du développement humain, du développement prénatal à la mort. 2)La psychologie de l'enfant est une discipline de la psychologie qui a pour objet d'étude les processus de pensée et des comportements de l'enfant humain, son développement psychologique et ses problèmes éventuels. Elle prend en compte son environnement. Sources: https://fr.wikipedia.org/wiki/Psychologie_du_développement  ; https://fr.wikipedia.org/wiki/Psychologie_de_l'enfant",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-507DT029-0
Experimental Psychology,Psychologie expérimentale,n/a,Psychology & Cognitive Sciences,n/a,"La psychologie expérimentale est le champ de la psychologie basé sur la méthode scientifique. Elle a pour objet l'étude des comportements directement observables1. Les psychologues expérimentaux usent de diverses méthodes : descriptives (comme les observations systématiques, les observations des corrélations, les relations entre variables, les études ex-post-facto…) ou encore la méthode expérimentale pure. Source: https://fr.wikipedia.org/wiki/Psychologie_expérimentale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-507DT029-0
General Psychology & Cognitive Sciences,Psychologie générale et sciences cognitives,n/a,Psychology & Cognitive Sciences,n/a,"1)La psychologie (du grec psukhê, âme, et logos, parole) est l'étude des faits psychiques, des comportements et des processus mentaux.  Les sciences cognitives regroupent un ensemble de disciplines scientifiques dédiées à la description, l'explication, et le cas échéant la simulation, des mécanismes de la pensée humaine, animale ou artificielle, et plus généralement de tout système complexe de traitement de l'information capable d'acquérir, conserver, utiliser et transmettre des connaissances. Sources: https://fr.wikipedia.org/wiki/Psychologie"">Psychologie ; https://fr.wikipedia.org/wiki/Sciences_cognitives",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SRJSDCNZ-M
Human Factors,Facteurs humains,n/a,Psychology & Cognitive Sciences,n/a,"Le facteur humain est la contribution humaine impliquée dans un événement, incluant l'erreur humaine. Source: https://fr.wikipedia.org/wiki/Facteur_humain",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SRJSDCNZ-M
Psychoanalysis,Psychanalyse,n/a,Psychology & Cognitive Sciences,n/a,"La psychanalyse est, selon la définition classique qu'en a donnée Sigmund Freud : -un procédé d'investigation des processus psychiques, qui autrement sont à peine accessibles ; -une méthode de traitement des troubles névrotiques ou psychotiques, qui se fonde sur cette investigation, également nommée la cure psychanalytique ; -une série de conceptions ayant trait au psychisme, acquises par ces moyens et qui fusionnent progressivement en une discipline scientifique nouvelle. Source: https://fr.wikipedia.org/wiki/Psychanalyse",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VXT5JXKX-7
Social Psychology,Psychologie sociale,n/a,Psychology & Cognitive Sciences,n/a,"La psychologie sociale est l'étude scientifique de la façon dont les pensées, les sentiments et les comportements des gens sont influencés par la présence réelle, imaginaire ou implicite des autres1. Dans cette définition « scientifique » se réfère à la méthode empirique de l'enquête. Les termes de pensées, de sentiments et de comportements comprennent toutes les variables psychologiques qui sont mesurables chez unêtre humain. Source: https://fr.wikipedia.org/wiki/Psychologie_sociale",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-SRJSDCNZ-M
Public Health & Health Services,Santé publique et services de santé,n/a,Health Sciences,n/a,,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Epidemiology,Épidémiologie,n/a,Public Health & Health Services,n/a,"L'épidémiologie est l'étude des facteurs influant sur la santé et les maladies de populations. Il s'agit d'une discipline qui se rapporte à la répartition, à la fréquence et à la gravité des états pathologiques. Source: https://fr.wikipedia.org/wiki/Epidémiologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Gerontology,Gérontologie,n/a,Public Health & Health Services,n/a,"La gérontologie (du grec ancien γέρων / gérôn « vieillard » et λογία / logía « étude ») est un champ d'étude qui porte sur le vieillissement humain, ses conséquences et son implication au sens le plus large : biologie et physiologie des organismes vivants, psychologie, santé, santé publique, économie, société, démographie, anthropologie, sociologie et plus généralement la plupart des sciences humaines. Source: https://fr.wikipedia.org/wiki/Gérontologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Health Policy & Services,Politiques et services de santé,n/a,Public Health & Health Services,n/a,"Les politiques de santé (ou politiques sanitaires, ou encore politiques de santé publique) comprennent l’ensemble des choix stratégiques des pouvoirs publics et privés pour améliorer l’état de santé despopulations dont ils ont la responsabilité. Source: https://fr.wikipedia.org/wiki/Politique_de_santé",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Nursing,Soins infirmiers,n/a,Public Health & Health Services,n/a,"Les soins infirmiers sont définis au sens large comme « une attention, une application envers quelqu’un ou quelque chose ». Le mot soin prend alors le sens de « moyens par lesquels on s’efforce de rendre la santé à un malade ». Source: https://fr.wikipedia.org/wiki/Soin_infirmier",http://www.science-metrix.com/fr/classification ,n/a
Public Health,Santé publique,n/a,Public Health & Health Services,n/a,"La santé publique peut être définie de diverses manières. On peut en effet la présenter comme « l'étude, d'une part, des déterminants physiques, psychosociaux et socioculturels de la santé de la population et d'autre part des actions en vue d'améliorer la santé de la population. » Ou encore, comme « une activité organisée de la société visant à promouvoir, à protéger, à améliorer et, le cas échéant, à rétablir la santé de personnes, de groupes ou de la population entière. » Source: https://fr.wikipedia.org/wiki/Santé_publique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-VGT7W43J-J
Rehabilitation,Réadaptation,n/a,Public Health & Health Services,n/a,"En ergothérapie, la réadaptation ou réhabilitation est le processus visant à réduire les incapacités d'une personne. Source: https://fr.wikipedia.org/wiki/Réadaptation",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-T20RGM17-1
Speech-Language Pathology & Audiology,Orthophonie et audiologie,n/a,Public Health & Health Services,n/a,"1)L'orthophonie (ortho : « correct », phonè : « voix »), ou logopédie (logos : « parole », paideia : « éducation ») en Belgique et en Suisse, est un champ d'expertise spécialisé dans l'évaluation et le traitement des troubles de la communication liés à la voix, à la parole et au langage oral et écrit. Le champ d'expertise de l'orthophonie inclut aussi les troubles de la déglutition et de motricité bucco-faciale. 2)L'audiologie est une branche de la science qui étudie l'audition. Sources: https://fr.wikipedia.org/wiki/Orthophonie  ; https://fr.wikipedia.org/wiki/Audiologie ",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-Z1B478V0-K
Substance Abuse,Abus de substances,n/a,Public Health & Health Services,n/a,Un abus de substances (abus substantiel ou troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives) se réfère à un niveau comportemental caractérisé par l'abus (c'est-à-dire l'usage excessif) d'une ou plusieurs substances considérées comme addictives. Source: https://fr.wikipedia.org/wiki/Abus_de_substances,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-NG7C6L16-T
Natural Sciences,Sciences naturelles,Catégorie  Sciences Metrics,n/a,n/a,"Les sciences de la nature, ou sciences naturelles (Natural science en anglais) ont pour objet le monde naturel. Source: https://fr.wikipedia.org/wiki/Science_de_la_nature",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-RRC8DGQF-Z
Biology,Biologie,n/a,Natural Sciences,Ecology ; Entomology ; Evolutionary Biology ; Marine Biology & Hydrobiology ; Ornithology ; Plant Biology & Botany ; Zoology,"La biologie (du grec bios « la vie » et logos, « discours ») est la science du vivant. Elle recouvre une partie des sciences de la nature et de l'histoire naturelle des êtres vivants. Source: https://fr.wikipedia.org/wiki/Biologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-R99L66L8-K
Ecology,Écologie,n/a,Biology,n/a,"L'écologie, également connue sous les noms de bioécologie, bionomie ou science de l'environnement ou environnementale, est la science qui étudie les êtres vivants dans leur milieu et les interactions entre eux. Source: https://fr.wikipedia.org/wiki/Ecologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-D2X6Z6WR-K
Entomology,Entomologie,n/a,Biology,n/a,L'entomologie est la branche de la zoologie dont l'objet est l'étude des insectes. Source: https://fr.wikipedia.org/wiki/Entomologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-JHD96XNZ-F
Evolutionary Biology,Biologie de l'évolution,n/a,Biology,n/a,La biologie de l’évolution aussi nommée biologie évolutive est le domaine de la biologie qui vise à comprendre les scénarios et les mécanismes de l’évolution des espèces. Source: https://fr.wikipedia.org/wiki/Biologie_de_l'évolution,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-LMN091N5-L
Marine Biology & Hydrobiology,Biologie marine et hydrobiologie,n/a,Biology,n/a,1)La biologie marine est l'étude scientifique des organismes marins ou d’organismes reliés à l'eau. 2)L'hydrobiologie est la science de la vie et des processus vitaux de l'eau.  Sources: https://fr.wikipedia.org/wiki/Biologie_marine  ; https://fr.wikipedia.org/wiki/Hydrobiologie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-R99L66L8-K
Ornithology,Ornithologie,n/a,Biology,n/a,"L'ornithologie (du grec ancien ορνις [ornis], « oiseau » et λόγος [logos], « connaissance ») est la branche de la zoologie qui a pour objet l'étude des oiseaux. Source: https://fr.wikipedia.org/wiki/Ornithologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-R99L66L8-K
Plant Biology & Botany,Biologie végétale et botanique,n/a,Biology,n/a,"La botanique est la science consacrée à l'étude des végétaux (du grec βοτανιϰή; féminin du mot βοτανιϰός qui signifie « qui concerne les herbes, les plantes »).  Source: https://fr.wikipedia.org/wiki/Botanique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V9VJ9707-4
Zoology,Zoologie,n/a,Biology,n/a,"La zoologie (des termes grecs ζῷον, zôon, animal, et λόγος, logos, le discours) est la science qui étudie les animaux. Source: https://fr.wikipedia.org/wiki/Zoologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-R99L66L8-K
Chemistry,Chimie,n/a,Natural Sciences,Analytical Chemistry ; General Chemistry ; Inorganic & Nuclear Chemistry ; Medicinal & Biomolecular Chemistry ; Organic Chemistry ; Physical Chemistry ; Polymers,La chimie est une science de la nature qui étudie la matière et ses transformations. Source: https://fr.wikipedia.org/wiki/Chimie,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-03BW22PM-D
Analytical Chemistry,Chimie analytique,n/a,Chemistry,n/a,"La chimie analytique est la partie de la chimie qui concerne l'analyse des produits, c'est-à-dire l'identification et la caractérisation de substances chimiques connues ou non. La substance chimique dont on cherche à déterminer les propriétés est appelée analyte. Source: https://fr.wikipedia.org/wiki/Chimie_analytique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-CF7NQ486-9
General Chemistry,Chimie générale,n/a,Chemistry,n/a,"La chimie générale est la spécialité de la chimie qui, au-delà des innombrables composés chimiques, étudie les principaux processus dans lesquels ils entrent en jeu. Source: https://fr.wikipedia.org/wiki/Chimie_générale",http://www.science-metrix.com/fr/classification ,
Inorganic & Nuclear Chemistry,Chimies inorganique et nucléaire,n/a,Chemistry,n/a,"1)La chimie inorganique (dénomination d'origine anglo-saxonne), également appelée chimie minérale, est la branche la plus ancienne de la chimie. Elle comporte l'étude des divers corps simples existant dans la nature ou obtenus artificiellement et celle des composés qu'ils engendrent en réagissant les uns sur les autres, à l'exception des combinaisons avec le carbone qui sont étudiées à part et font l'objet de la chimie organique. 2)   Sources: https://fr.wikipedia.org/wiki/Chimie_inorganique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-QJHD5FVK-1
Medicinal & Biomolecular Chemistry,Chimies médicinale et biomoléculaire,n/a,Chemistry,n/a,La chimie médicinale ou chimie thérapeutique est une discipline scientifique à l'intersection de la chimie et de la pharmacie incluant la conception de médicaments et leur développement. Source: https://fr.wikibooks.org/wiki/Chimie_médicinale,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-D03393ZJ-Q
Organic Chemistry,Chimie organique,n/a,Chemistry,n/a,"La chimie organique est la chimie du carbone et de ses composés, naturels ou synthétiques. Certains composés du carbone peuvent faire exception, ils sont examinés dans l’article « composé organique ». Source: https://fr.wikipedia.org/wiki/Chimie_organique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-QCQTGHKG-V
Physical Chemistry,Chimie physique,n/a,Chemistry,n/a,"La chimie physique est l’étude des bases physiques des systèmes chimiques et des procédés. En particulier, la description énergétique des diverses transformations fait partie de la chimie physique. Source: https://fr.wikipedia.org/wiki/Chimie_physique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-QJHD5FVK-1
Polymers,Polymères,n/a,Chemistry,n/a,"Les polymères (étymologie : du grec polus, plusieurs, et meros, partie) constituent une classe de matériaux. D'un point de vue chimique, un polymère est unemacromolécule (molécule constituée de la répétition de nombreuses sous-unités). Source: https://fr.wikipedia.org/wiki/Polymère",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-GJV8RM4B-X
Earth & Environmental Sciences,Sciences de l'environnement et de la terre,n/a,Natural Sciences,Environmental Sciences ; Geochemistry & Geophysics ; Geology ; Meteorology & Atmospheric Sciences ; Oceanography ; Paleontology,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-8RFHMJ8W-F
Environmental Sciences,Sciences environnementales,n/a,Earth & Environmental Sciences,n/a,"La science de l'environnement ou science environnementale est une discipline qui intègre les sciences physiques et biologiques telles la physique, la chimie (la biochimie et la chimie de l'environnement), la biologie, l'écologie, la pédologie, la géologie, la géomorphologie, la géographie, la climatologie, l'écologie rétrospective, l'histoire environnementale, etc. afin de mener l'étude de l'environnement. Source: https://fr.wikipedia.org/wiki/Science_de_l'environnement",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-GJV8RM4B-X
Geochemistry & Geophysics,Géochimie et géophysique,n/a,Earth & Environmental Sciences,n/a,"1)La géochimie applique les outils et concepts de la chimie à l'étude de la Terre et des sédiments. Dans une certaine mesure, des échantillons sont accessibles à l'investigation chimique. En ce qui concerne la Terre, cette discipline a pour objectif la connaissance des cycles par lesquels la plupart des éléments chimiques sont conduits alternativement en surface et en profondeur au sein de la Terre. 2)La géophysique est une discipline importante des sciences de la Terre. Elle concerne l’étude des caractéristiques physiques de la Terre, ou d'autres planètes, utilisant des techniques de mesures indirectes (gravimétrie, géomagnétisme, sismologie, radar géologique, résistivité apparente, etc.) Sources: https://fr.wikipedia.org/wiki/Géochimie"">Géochimie ; https://fr.wikipedia.org/wiki/Géophysique",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-RTD77K4T-7
Geology,Géologie,n/a,Earth & Environmental Sciences,n/a,"La géologie (du grec ancien gê, la Terre, et logos, le discours) est la science dont le principal objet d'étude est la Terre, et plus particulièrement la lithosphère.Discipline majeure des sciences de la Terre, elle se base en premier lieu sur l'observation, puis établit des hypothèses permettant d'expliquer l'agencement des roches et des structures les affectant afin d'en reconstituer l'histoire et les processus en jeu. Le terme « géologie » désigne également l'ensemble des caractéristiques géologiques d'une région, et s'étend à l'étude de ces dernières des astres. Source: https://fr.wikipedia.org/wiki/Géologie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-8RFHMJ8W-F
